col1,col2
1,55
2,56.8
3,56.3
4,54
5,55.8
6,57.1
7,55.8
8,56.4
9,56.3
10,54
11,54.9
12,56.8
13,60.3
14,56
15,52.2
16,53.9
17,55
18,55.1
19,58.6
20,63.5
21,61.5
22,58.1
23,99
24,58.6
25,56.1
26,54
27,55.3
28,56
29,57.3
30,57.6
31,59.9
1,61.3
2,55.3
3,56.8
4,59.1
5,64.2
6,67.1
7,61.7
8,58.8
9,58.6
10,58.6
11,59.9
12,63.5
13,66.8
14,63.8
15,63.6
16,60.8
17,62.2
18,65.2
19,65.7
20,64.9
21,70.9
22,66.4
23,63.6
24,63.6
25,61.1
26,60.1
27,57.8
28,57.3
1,61.3
2,59.3
3,62.8
4,66.4
5,65.2
6,64.8
7,67.1
8,68.7
9,69
10,67.2
11,73.1
12,71.8
13,67.5
14,65.5
15,68.3
16,70.8
17,71.7
18,71.3
19,75.4
20,80.4
21,78.1
22,75.1
23,77
24,77.1
25,75.9
26,75.6
27,77.2
28,80.8
29,84.9
30,88.5
31,83.8
1,81.8
2,81.6
3,84.5
4,86.2
5,83.7
6,92.4
7,87.5
8,84.9
9,86.3
10,89.7
11,90.6
12,87
13,88.5
14,90
15,92.5
16,78.8
17,75.8
18,78.5
19,81.5
20,84.6
21,87.9
22,90
23,92.8
24,99
25,99
26,93.8
27,99
28,94.6
29,94.7
30,99
1,94
2,92.3
3,90.6
4,89.8
5,90.7
6,92.8
7,92.3
8,95.6
9,96.9
10,95.8
11,93.1
12,92.1
13,92
14,87.5
15,84.9
16,99
17,99
18,99
19,99
20,93.2
21,95.5
22,92.2
23,92.6
24,85.7
25,90.5
26,93.5
27,95.1
28,94.3
29,97.8
30,100.8
31,101.7
1,99.7
2,99.2
3,96.6
4,98
5,99.5
6,99.8
7,95
8,100.3
9,99.4
10,102.6
11,101.5
12,96.8
13,98.6
14,99.7
15,100.3
16,88.8
17,86.6
18,83.4
19,89.9
20,92.3
21,95.2
22,96
23,95.5
24,89.8
25,93.6
26,96.5
27,95.5
28,96.5
29,100.6
30,100.3
1,98.2
2,94.8
3,94.8
4,87.7
5,83.9
6,92.1
7,89.7
8,92.7
9,88.9
10,93.1
11,95.7
12,94.8
13,96
14,93.8
15,84.4
16,84.6
17,80.6
18,80.6
19,89.4
20,87.2
21,87.1
22,88.3
23,93.5
24,92
25,83.6
26,83.4
27,83.7
28,86.1
29,89.4
30,88.7
31,89.5
1,91.2
2,87.7
3,86
4,87.5
5,89.2
6,81
7,87.7
8,92.3
9,88.7
10,87.9
11,91.2
12,87.9
13,86.8
14,86.9
15,87.1
16,85.8
17,80.5
18,81.2
19,87.3
20,88.5
21,89.6
22,86.8
23,89.3
24,87.9
25,84.7
26,89.5
27,91.3
28,92.8
29,92.5
30,91.4
31,91.4
1,85.8
2,90.9
3,91.5
4,90.7
5,86.9
6,89.1
7,85.9
8,89.4
9,90.6
10,90.3
11,92.4
12,92
13,91.3
14,89.6
15,87.2
16,90.2
17,90.2
18,87.7
19,84.3
20,86.4
21,82.4
22,81
23,84.3
24,85
25,86.3
26,85.4
27,83.3
28,83.5
29,81.8
30,81.3
1,83.6
2,84.2
3,83.8
4,80.8
5,81.2
6,81.7
7,81.8
8,80.9
9,81.5
10,81.8
11,82.2
12,82.6
13,82.1
14,81.6
15,83.5
16,83.5
17,82.7
18,83.3
19,81.2
20,78.8
21,76.4
22,77.4
23,77.6
24,78.1
25,77.3
26,76.9
27,77.2
28,77
29,75.4
30,77.4
31,76.5
1,77.8
2,76.1
3,74.1
4,75.4
5,74.3
6,74.2
7,69
8,71.5
9,70.8
10,68.9
11,67.4
12,64.3
13,68.5
14,68.3
15,70.1
16,72
17,73.4
18,65.3
19,66.2
20,66.4
21,66.7
22,67.5
23,68.8
24,69.2
25,68
26,69.3
27,68.7
28,65
29,64.5
30,60.5
1,60.2
2,59.9
3,59.8
4,58.2
5,58
6,60.6
7,59.2
8,59.6
9,58.7
10,62.3
11,60.4
12,61.5
13,59.4
14,58.5
15,57.5
16,52.5
17,51.1
18,53.9
19,50.5
20,53.8
21,54.6
22,52.3
23,49.2
24,52.6
25,47.1
26,47.9
27,47.5
28,44.8
29,47.8
30,44.5
31,46.6
